Time    PM2.5    PM10    O3    CO    SO2    NO2
2018010100  -999  -999  9  2.4  17  113
2018010101  263  398  12  2.3  17  108
2018010102  277  404  8  2.4  19  114
2018010103  -999  -999  -999  -999  -999  -999
2018010104  -999  -999  -999  -999  -999  -999
2018010105  -999  -999  -999  -999  -999  -999
2018010106  -999  -999  -999  -999  -999  -999
2018010107  -999  -999  -999  -999  -999  -999
2018010108  -999  -999  -999  -999  -999  -999
2018010109  -999  -999  -999  -999  -999  -999
2018010110  283  415  18  2.7  4  101
2018010111  272  395  31  2.5  14  92
2018010112  249  370  65  2.2  11  79
2018010113  215  324  87  2  11  68
2018010114  218  330  94  1.9  13  64
2018010115  188  314  118  1.7  13  47
2018010116  169  312  134  1.5  14  37
2018010117  156  295  130  1.4  13  37
2018010118  184  321  120  1.5  12  44
2018010119  184  331  100  1.6  14  52
2018010120  161  285  88  1.7  18  52
2018010121  133  245  67  1.7  20  61
2018010122  133  245  41  1.2  19  72
2018010123  59  136  34  1.1  18  74
2018010200  52  136  35  1.1  14  68
2018010201  49  99  37  1  11  63
2018010202  48  106  33  0.9  13  61
2018010203  49  102  32  0.9  12  58
2018010204  39  85  35  0.8  12  52
2018010205  41  89  42  0.8  12  41
2018010206  45  80  45  0.8  12  38
2018010207  42  82  41  0.8  10  40
2018010208  43  85  38  0.8  9  46
2018010209  46  97  38  0.9  11  46
2018010210  51  97  41  0.9  12  47
2018010211  51  111  40  0.9  16  51
2018010212  54  117  43  0.9  14  50
2018010213  51  125  45  0.9  11  51
2018010214  56  116  55  0.8  10  43
2018010215  73  169  20  1  19  90
2018010216  85  176  -999  1.1  20  106
2018010217  77  166  5  1.3  19  109
2018010218  69  173  5  1.3  14  111
2018010219  61  152  4  1.3  13  110
2018010220  57  129  5  1  15  90
2018010221  41  129  9  0.8  10  77
2018010222  47  99  9  0.9  10  82
2018010223  48  77  25  0.8  6  49
2018010300  33  48  32  0.8  10  40
2018010301  20  27  44  0.7  14  37
2018010302  13  27  54  0.6  10  28
2018010303  20  37  56  0.6  17  30
2018010304  18  34  68  0.6  12  20
2018010305  12  21  75  0.5  10  16
2018010306  23  52  81  0.6  10  14
2018010307  22  56  76  0.6  8  18
2018010308  31  67  70  0.6  10  26
2018010309  21  56  56  0.6  13  35
2018010310  11  29  45  0.7  8  30
2018010311  27  45  43  0.6  6  34
2018010312  18  36  40  0.7  5  38
2018010313  24  35  38  0.6  8  37
2018010314  21  24  37  0.6  4  38
2018010315  14  24  46  0.5  4  30
2018010316  15  26  43  0.5  14  37
2018010317  15  23  36  0.5  14  44
2018010318  16  19  42  0.5  1  39
2018010319  18  26  42  0.5  4  39
2018010320  15  22  38  0.5  6  45
2018010321  17  29  38  0.5  3  44
2018010322  15  17  34  0.5  3  50
2018010323  13  21  35  0.5  3  50
2018010400  13  16  33  0.5  3  46
2018010401  11  19  33  0.5  3  50
2018010402  8  13  38  0.5  3  43
2018010403  10  18  42  0.5  3  32
2018010404  6  16  33  0.5  3  45
2018010405  8  17  44  0.5  3  30
2018010406  6  10  43  0.5  3  31
2018010407  7  16  38  0.4  3  33
2018010408  8  13  36  0.5  3  32
2018010409  7  16  35  0.5  3  39
2018010410  7  17  34  0.5  3  49
2018010411  8  15  36  0.5  3  49
2018010412  6  11  39  0.5  3  47
2018010413  5  21  37  0.5  3  49
2018010414  5  10  36  0.5  3  55
2018010415  6  12  36  0.5  3  53
2018010416  7  11  33  0.6  3  50
2018010417  9  18  26  0.6  3  61
2018010418  8  23  36  0.6  3  45
2018010419  5  17  43  0.5  3  34
2018010420  10  17  45  0.5  3  31
2018010421  8  13  45  0.5  3  33
2018010422  6  12  52  0.5  3  26
2018010423  3  13  55  0.5  3  23
2018010500  2  7  60  0.5  3  20
2018010501  6  8  60  0.5  3  20
2018010502  7  16  60  0.5  10  19
2018010503  8  17  58  0.5  12  19
2018010504  11  22  56  0.5  6  14
2018010505  31  32  44  0.6  13  23
2018010506  57  78  26  0.9  14  37
2018010507  63  80  24  1  18  38
2018010508  61  76  22  1  18  37
2018010509  54  74  21  1  23  39
2018010510  63  82  20  1  12  45
2018010511  78  93  22  1  11  51
2018010512  73  101  33  1  15  47
2018010513  76  103  36  1.1  9  51
2018010514  69  103  50  1  8  44
2018010515  85  100  55  1  9  56
2018010516  78  108  57  1  12  67
2018010517  117  147  24  1.2  8  95
2018010518  92  112  29  1  12  92
2018010519  66  82  33  0.9  7  74
2018010520  60  80  26  0.8  6  88
2018010521  58  81  31  0.7  8  77
2018010522  54  76  29  0.7  7  79
2018010523  57  76  29  0.7  11  76
2018010600  67  96  46  0.7  9  63
2018010601  81  109  52  0.9  11  58
2018010602  93  114  72  0.9  12  41
2018010603  94  135  75  1  16  41
2018010604  108  138  91  1  21  27
2018010605  119  150  86  1.1  16  27
2018010606  130  157  81  1.1  20  27
2018010607  140  167  73  1.2  27  33
2018010608  142  196  52  1.3  16  51
2018010609  156  208  46  1.2  13  54
2018010610  132  172  57  1.3  7  42
2018010611  117  154  66  1.3  20  42
2018010612  95  127  77  1.1  14  37
2018010613  67  89  96  0.8  11  25
2018010614  63  90  102  0.9  11  25
2018010615  88  121  96  1.1  14  38
2018010616  92  129  80  1.2  15  57
2018010617  101  138  51  1.3  18  88
2018010618  117  169  22  1.5  19  118
2018010619  133  192  41  1.5  13  94
2018010620  147  195  48  1.6  1  78
2018010621  149  211  34  1.6  3  83
2018010622  136  183  25  1.4  3  80
2018010623  127  161  12  1.3  3  92
2018010700  78  103  11  1.1  3  86
2018010701  38  57  26  0.8  3  59
2018010702  34  48  31  0.7  1  53
2018010703  35  48  29  0.7  3  50
2018010704  25  37  30  0.7  1  47
2018010705  31  37  31  0.7  9  43
2018010706  27  39  25  0.7  5  47
2018010707  34  51  13  0.8  12  63
2018010708  32  46  5  0.9  7  76
2018010709  29  43  6  0.9  10  75
2018010710  34  52  8  1  1  82
2018010711  25  51  9  1  5  71
2018010712  37  60  9  1.4  11  69
2018010713  35  44  10  1.2  15  66
2018010714  20  25  19  0.9  8  53
2018010715  16  22  29  0.8  10  44
2018010716  20  27  24  0.9  9  54
2018010717  26  37  18  0.9  6  61
2018010718  35  39  18  1  15  61
2018010719  51  68  12  1.4  11  70
2018010720  59  82  9  1.5  13  78
2018010721  77  91  9  1.7  13  80
2018010722  106  124  8  1.9  10  83
2018010723  133  158  11  1.9  3  74
2018010800  154  -999  7  2.4  3  82
2018010801  141  -999  9  2  3  75
2018010802  133  156  15  1.6  5  60
2018010803  123  153  32  1.4  22  44
2018010804  145  181  30  1.4  8  43
2018010805  144  190  34  1.3  3  35
2018010806  145  183  40  1.2  6  31
2018010807  142  184  51  1.2  13  31
2018010808  124  157  53  1.1  9  42
2018010809  139  170  70  1.1  8  32
2018010810  144  171  74  1.2  9  30
2018010811  143  175  78  1.1  8  28
2018010812  136  167  84  1.2  10  24
2018010813  167  197  86  1.3  12  25
2018010814  126  162  93  1.2  12  23
2018010815  81  114  -999  -999  13  23
2018010816  81  114  94  0.9  13  25
2018010817  -999  -999  99  0.7  13  27
2018010818  41  104  97  0.7  14  31
2018010819  28  91  95  0.7  12  32
2018010820  31  91  91  0.6  11  34
2018010821  29  82  95  0.6  4  31
2018010822  22  80  92  0.5  10  27
2018010823  20  73  85  0.5  7  29
2018010900  14  60  83  0.4  9  24
2018010901  11  50  82  0.4  7  22
2018010902  8  42  82  0.4  6  21
2018010903  8  45  79  0.4  7  23
2018010904  10  38  80  0.4  7  22
2018010905  9  45  77  0.4  7  25
2018010906  6  40  70  0.4  8  31
2018010907  11  43  37  0.5  6  76
2018010908  14  50  31  0.6  7  88
2018010909  16  51  37  0.6  8  76
2018010910  20  66  56  0.6  9  52
2018010911  15  71  67  0.5  9  40
2018010912  16  69  78  0.5  9  28
2018010913  13  65  83  0.5  11  24
2018010914  8  64  91  0.4  8  21
2018010915  9  53  93  0.4  7  26
2018010916  10  73  91  0.4  5  34
2018010917  12  64  79  0.4  5  49
2018010918  7  61  66  0.4  4  70
2018010919  5  55  50  0.5  6  82
2018010920  10  59  67  0.4  10  59
2018010921  9  58  91  0.4  5  31
2018010922  10  47  91  0.4  6  30
2018010923  8  36  92  0.4  7  26
2018011000  15  53  93  0.4  6  25
2018011001  8  40  85  0.5  6  28
2018011002  13  48  76  0.5  6  33
2018011003  16  53  73  0.5  8  31
2018011004  21  54  67  0.7  12  33
2018011005  24  65  48  1  16  48
2018011006  31  80  40  1  15  54
2018011007  30  79  22  1.1  16  76
2018011008  28  93  18  1.1  16  85
2018011009  32  90  28  1.2  21  72
2018011010  33  100  35  1.4  22  65
2018011011  37  119  54  0.6  12  43
2018011012  17  98  64  0.5  10  35
2018011013  16  87  65  0.5  9  33
2018011014  12  71  88  0.4  8  17
2018011015  8  69  91  0.4  8  18
2018011016  6  54  88  0.5  8  25
2018011017  17  74  83  0.5  9  34
2018011018  10  60  74  0.5  9  42
2018011019  18  66  55  0.6  10  62
2018011020  16  61  40  0.6  8  77
2018011021  23  95  19  0.9  11  110
2018011022  30  78  13  1.4  15  119
2018011023  34  102  6  1.6  18  117
2018011100  40  97  14  0.9  16  111
2018011101  35  97  25  0.6  8  92
2018011102  26  76  9  0.7  7  113
2018011103  29  85  6  0.8  6  112
2018011104  26  80  5  0.8  7  113
2018011105  26  94  5  0.8  5  108
2018011106  31  94  5  0.9  7  107
2018011107  31  91  5  0.9  7  103
2018011108  30  96  6  0.9  7  99
2018011109  38  92  7  1.2  8  103
2018011110  46  122  12  1  10  102
2018011111  49  141  27  1.1  15  94
2018011112  45  129  49  0.8  12  71
2018011113  35  100  73  0.6  12  41
2018011114  24  78  79  0.6  13  38
2018011115  27  92  92  0.7  12  29
2018011116  28  101  92  0.6  14  35
2018011117  41  121  84  0.6  14  37
2018011118  48  110  62  0.6  11  51
2018011119  32  103  40  0.6  10  64
2018011120  26  81  38  0.6  10  62
2018011121  17  60  37  0.6  11  64
2018011122  16  53  32  0.6  11  73
2018011123  18  68  25  0.7  20  79
2018011200  25  69  31  0.6  11  68
2018011201  23  64  30  0.6  10  61
2018011202  11  59  23  0.6  12  67
2018011203  10  51  8  0.6  14  88
2018011204  17  63  6  0.6  18  87
2018011205  18  56  6  0.6  18  87
2018011206  18  52  6  0.7  10  85
2018011207  17  41  6  0.6  13  76
2018011208  18  59  7  0.8  9  80
2018011209  19  62  11  0.9  10  77
2018011210  24  81  24  0.8  14  63
2018011211  22  62  45  0.8  22  61
2018011212  24  74  45  1.2  26  74
2018011213  39  97  36  2.7  38  83
2018011214  59  120  35  2.3  34  82
2018011215  51  114  45  1.4  20  82
2018011216  49  113  47  1.3  25  85
2018011217  39  97  32  1.6  23  98
2018011218  35  95  16  1.2  23  116
2018011219  37  94  6  1  18  125
2018011220  40  105  6  0.8  10  122
2018011221  36  87  6  0.8  9  119
2018011222  31  75  6  0.8  10  118
2018011223  29  121  6  0.9  18  120
2018011300  39  139  6  1  13  116
2018011301  47  128  6  1.1  14  118
2018011302  43  123  6  1.2  14  116
2018011303  48  128  6  1.1  15  111
2018011304  41  121  6  1.1  16  107
2018011305  48  110  6  1.1  16  104
2018011306  44  105  6  1.2  20  102
2018011307  52  105  6  1.1  18  96
2018011308  45  99  7  1.1  30  91
2018011309  45  95  10  1.2  30  88
2018011310  49  104  20  1.5  24  77
2018011311  -999  -999  -999  -999  -999  -999
2018011312  46  112  35  1.1  23  72
2018011313  47  103  35  1.1  20  77
2018011314  44  111  45  0.8  13  63
2018011315  33  79  48  0.8  15  60
