Time    PM2.5    PM10    O3    CO    SO2    NO2 
2024010100  168.0  212.0  48.0  1.3  4.0  46.0 
2024010101  153.0  202.0  47.0  1.3  4.0  40.0 
2024010102  168.0  219.0  39.0  1.3  4.0  44.0 
2024010103  158.0  207.0  22.0  1.3  4.0  55.0 
2024010104  141.0  195.0  19.0  1.3  4.0  57.0 
2024010105  119.0  178.0  25.0  1.2  4.0  47.0 
2024010106  114.0  153.0  28.0  1.1  3.0  39.0 
2024010107  107.0  149.0  22.0  1.0  3.0  42.0 
2024010108  102.0  146.0  19.0  1.0  4.0  45.0 
2024010109  107.0  136.0  27.0  0.9  5.0  40.0 
2024010110  78.0  132.0  44.0  0.8  6.0  33.0 
2024010111  70.0  110.0  57.0  0.8  6.0  29.0 
2024010112  53.0  88.0  -999.0  0.7  5.0  22.0 
2024010113  46.0  85.0  -999.0  -999.0  5.0  20.0 
2024010114  56.0  83.0  80.0  0.6  -999.0  -999.0 
2024010115  56.0  88.0  83.0  0.6  4.0  7.0 
2024010116  46.0  90.0  81.0  0.6  4.0  10.0 
2024010117  46.0  88.0  80.0  0.6  4.0  13.0 
2024010118  58.0  90.0  72.0  0.7  4.0  20.0 
2024010119  58.0  95.0  59.0  0.7  3.0  28.0 
2024010120  63.0  119.0  48.0  0.7  3.0  31.0 
2024010121  83.0  124.0  42.0  0.7  3.0  32.0 
2024010122  85.0  127.0  34.0  0.8  4.0  36.0 
2024010123  80.0  124.0  34.0  0.8  3.0  32.0 
2024010200  88.0  117.0  14.0  0.9  3.0  48.0 
2024010201  70.0  112.0  18.0  0.9  3.0  48.0 
2024010202  73.0  105.0  24.0  0.8  3.0  33.0 
2024010203  70.0  105.0  23.0  0.8  3.0  29.0 
2024010204  66.0  95.0  8.0  0.8  2.0  38.0 
2024010205  63.0  107.0  -999.0  0.8  4.0  58.0 
2024010206  66.0  107.0  -999.0  0.8  4.0  56.0 
2024010207  63.0  105.0  -999.0  0.9  4.0  54.0 
2024010208  66.0  107.0  3.0  1.0  5.0  54.0 
2024010209  75.0  122.0  10.0  1.0  6.0  53.0 
2024010210  66.0  107.0  23.0  1.0  6.0  45.0 
2024010211  68.0  107.0  31.0  1.0  6.0  44.0 
2024010212  70.0  110.0  43.0  0.9  7.0  41.0 
2024010213  80.0  124.0  31.0  0.9  8.0  64.0 
2024010214  83.0  124.0  60.0  0.9  8.0  49.0 
2024010215  75.0  124.0  52.0  0.9  7.0  50.0 
2024010216  78.0  112.0  44.0  0.9  7.0  51.0 
2024010217  78.0  105.0  25.0  0.9  4.0  52.0 
2024010218  73.0  90.0  24.0  1.0  4.0  46.0 
2024010219  78.0  85.0  29.0  1.0  3.0  42.0 
2024010220  53.0  58.0  35.0  0.8  3.0  38.0 
2024010221  53.0  56.0  23.0  0.8  3.0  49.0 
2024010222  48.0  51.0  20.0  0.8  3.0  50.0 
2024010223  44.0  46.0  30.0  0.8  3.0  43.0 
2024010300  46.0  48.0  22.0  1.0  3.0  45.0 
2024010301  41.0  44.0  48.0  0.8  3.0  27.0 
2024010302  46.0  51.0  41.0  0.7  2.0  25.0 
2024010303  51.0  58.0  39.0  0.9  3.0  26.0 
2024010304  48.0  56.0  48.0  1.1  3.0  19.0 
2024010305  46.0  53.0  52.0  1.0  3.0  18.0 
2024010306  44.0  56.0  56.0  0.7  3.0  15.0 
2024010307  46.0  61.0  51.0  0.7  2.0  18.0 
2024010308  46.0  58.0  50.0  0.7  2.0  18.0 
2024010309  46.0  58.0  48.0  0.7  2.0  25.0 
2024010310  53.0  58.0  51.0  0.7  2.0  21.0 
2024010311  61.0  68.0  51.0  0.8  2.0  22.0 
2024010312  56.0  70.0  55.0  0.7  2.0  21.0 
2024010313  53.0  70.0  59.0  0.8  2.0  20.0 
2024010314  48.0  66.0  61.0  0.8  3.0  23.0 
2024010315  53.0  80.0  60.0  0.8  3.0  26.0 
2024010316  61.0  78.0  50.0  0.8  3.0  35.0 
2024010317  66.0  88.0  42.0  0.9  2.0  42.0 
2024010318  61.0  75.0  41.0  0.9  2.0  38.0 
2024010319  61.0  88.0  24.0  0.9  2.0  48.0 
2024010320  63.0  85.0  11.0  1.0  2.0  59.0 
2024010321  61.0  95.0  2.0  1.1  3.0  66.0 
2024010322  70.0  100.0  -999.0  1.1  3.0  63.0 
2024010323  58.0  102.0  -999.0  1.1  3.0  59.0 
2024010400  63.0  110.0  -999.0  1.2  4.0  64.0 
2024010401  61.0  100.0  -999.0  1.3  4.0  60.0 
2024010402  58.0  110.0  -999.0  1.5  5.0  57.0 
2024010403  58.0  110.0  -999.0  1.6  5.0  56.0 
2024010404  68.0  112.0  3.0  1.5  4.0  51.0 
2024010405  58.0  114.0  5.0  1.3  4.0  49.0 
2024010406  44.0  92.0  4.0  1.3  3.0  48.0 
2024010407  34.0  75.0  11.0  1.2  3.0  41.0 
2024010408  31.0  68.0  4.0  1.2  3.0  47.0 
2024010409  27.0  51.0  17.0  1.2  2.0  35.0 
2024010410  44.0  78.0  23.0  1.1  3.0  32.0 
2024010411  56.0  73.0  30.0  1.0  3.0  34.0 
2024010412  51.0  68.0  46.0  1.0  4.0  32.0 
2024010413  41.0  58.0  64.0  0.8  4.0  29.0 
2024010414  39.0  53.0  66.0  0.8  4.0  30.0 
2024010415  41.0  56.0  66.0  0.8  4.0  31.0 
2024010416  39.0  53.0  69.0  0.8  4.0  29.0 
2024010417  36.0  53.0  66.0  0.8  4.0  34.0 
2024010418  44.0  68.0  51.0  0.8  4.0  43.0 
2024010419  41.0  75.0  42.0  0.8  3.0  49.0 
2024010420  44.0  68.0  33.0  0.8  3.0  58.0 
2024010421  36.0  66.0  21.0  0.8  4.0  72.0 
2024010422  41.0  61.0  30.0  0.8  3.0  60.0 
2024010423  48.0  70.0  20.0  0.9  4.0  68.0 
2024010500  51.0  78.0  13.0  0.9  4.0  64.0 
2024010501  56.0  68.0  8.0  0.9  3.0  66.0 
2024010502  75.0  105.0  10.0  0.9  4.0  68.0 
2024010503  78.0  90.0  4.0  0.9  4.0  65.0 
2024010504  73.0  88.0  1.0  0.9  4.0  67.0 
2024010505  66.0  83.0  -999.0  1.0  4.0  63.0 
2024010506  75.0  83.0  -999.0  1.0  5.0  69.0 
2024010507  75.0  88.0  -999.0  1.0  5.0  64.0 
2024010508  73.0  95.0  1.0  1.1  6.0  63.0 
2024010509  85.0  117.0  4.0  1.2  7.0  64.0 
2024010510  88.0  122.0  10.0  1.2  9.0  69.0 
2024010511  80.0  107.0  16.0  1.2  10.0  72.0 
2024010512  58.0  85.0  34.0  1.2  13.0  66.0 
2024010513  44.0  70.0  54.0  1.0  11.0  55.0 
2024010514  46.0  66.0  58.0  1.0  11.0  55.0 
2024010515  48.0  85.0  53.0  1.0  12.0  67.0 
2024010516  34.0  66.0  59.0  0.9  14.0  57.0 
2024010517  53.0  90.0  68.0  1.0  13.0  72.0 
2024010518  58.0  88.0  50.0  0.9  9.0  78.0 
2024010519  68.0  97.0  22.0  0.9  8.0  92.0 
2024010520  78.0  110.0  10.0  1.0  7.0  102.0 
2024010521  90.0  122.0  16.0  1.1  7.0  88.0 
2024010522  88.0  119.0  8.0  1.1  6.0  91.0 
2024010523  88.0  119.0  3.0  1.2  5.0  89.0 
2024010600  88.0  122.0  -999.0  1.2  4.0  89.0 
2024010601  90.0  112.0  -999.0  1.2  4.0  84.0 
2024010602  92.0  119.0  -999.0  1.2  5.0  84.0 
2024010603  95.0  129.0  -999.0  1.2  5.0  79.0 
2024010604  105.0  153.0  -999.0  1.3  7.0  86.0 
2024010605  97.0  134.0  -999.0  1.3  7.0  77.0 
2024010606  95.0  136.0  -999.0  1.3  7.0  70.0 
2024010607  85.0  129.0  -999.0  1.3  6.0  61.0 
2024010608  80.0  117.0  -999.0  1.3  6.0  55.0 
2024010609  95.0  134.0  1.0  1.4  8.0  64.0 
2024010610  139.0  173.0  4.0  1.4  9.0  88.0 
